Temp,MaxTemp,MinTemp,LinkMargin,timestamp
7.1375,16.2162,0.8037,48,2016-10-08T06:45:43.386Z
7.0250,16.2162,0.8037,48,2016-10-08T06:45:13.187Z
7.0250,16.2162,0.8037,48,2016-10-08T06:44:42.969Z
6.9125,16.2162,0.8037,48,2016-10-08T06:44:13.085Z
6.9125,16.2162,0.8037,48,2016-10-08T06:43:42.954Z
6.9125,16.2162,0.8037,48,2016-10-08T06:43:14.537Z
6.8000,16.2162,0.8037,48,2016-10-08T06:42:44.096Z
6.8000,16.2162,0.8037,48,2016-10-08T06:42:13.288Z
6.6875,16.2162,0.8037,48,2016-10-08T06:41:42.925Z
6.6875,16.2162,0.8037,48,2016-10-08T06:41:13.310Z
6.6875,16.2162,0.8037,48,2016-10-08T06:40:43.035Z
6.6875,16.2162,0.8037,48,2016-10-08T06:40:13.128Z
6.5750,16.2162,0.8037,48,2016-10-08T06:39:43.023Z
6.5750,16.2162,0.8037,48,2016-10-08T06:39:13.232Z
6.4625,16.2162,0.8037,48,2016-10-08T06:38:43.010Z
6.4625,16.2162,0.8037,48,2016-10-08T06:38:14.019Z
6.3500,16.2162,0.8037,48,2016-10-08T06:37:46.148Z
6.3500,16.2162,0.8037,48,2016-10-08T06:37:12.982Z
6.1250,16.2162,0.8037,48,2016-10-08T06:36:43.029Z
6.1250,16.2162,0.8037,48,2016-10-08T06:36:13.063Z
6.2375,16.2162,0.8037,48,2016-10-08T06:35:43.163Z
6.1250,16.2162,0.8037,48,2016-10-08T06:35:13.805Z
6.1250,16.2162,0.8037,48,2016-10-08T06:34:44.296Z
6.1250,16.2162,0.8037,48,2016-10-08T06:34:12.936Z
6.1250,16.2162,0.8037,48,2016-10-08T06:33:43.178Z
6.1250,16.2162,0.8037,48,2016-10-08T06:33:15.550Z
6.1250,16.2162,0.8037,48,2016-10-08T06:32:43.806Z
6.2375,16.2162,0.8037,48,2016-10-08T06:31:43.023Z
6.2375,16.2162,0.8037,48,2016-10-08T06:31:13.212Z
6.4625,16.2162,0.8037,48,2016-10-08T06:30:42.881Z
6.4625,16.2162,0.8037,48,2016-10-08T06:30:13.158Z
6.4625,16.2162,0.8037,48,2016-10-08T06:29:42.991Z
6.5750,16.2162,0.8037,48,2016-10-08T06:29:16.159Z
6.5750,16.2162,0.8037,48,2016-10-08T06:28:42.976Z
6.5750,16.2162,0.8037,48,2016-10-08T06:28:12.971Z
6.6875,16.2162,0.8037,48,2016-10-08T06:27:43.786Z
6.8000,16.2162,0.8037,48,2016-10-08T06:27:13.229Z
6.8000,16.2162,0.8037,48,2016-10-08T06:26:42.990Z
6.8000,16.2162,0.8037,48,2016-10-08T06:26:13.007Z
7.0250,16.2162,0.8037,48,2016-10-08T06:25:42.953Z
7.0250,16.2162,0.8037,48,2016-10-08T06:25:13.154Z
7.1375,16.2162,0.8037,48,2016-10-08T06:24:42.915Z
7.2500,16.2162,0.8037,48,2016-10-08T06:24:15.575Z
7.2500,16.2162,0.8037,48,2016-10-08T06:23:44.775Z
7.3625,16.2162,0.8037,48,2016-10-08T06:23:14.013Z
7.3625,16.2162,0.8037,48,2016-10-08T06:22:45.151Z
7.4750,16.2162,0.8037,48,2016-10-08T06:22:13.134Z
7.4750,16.2162,0.8037,48,2016-10-08T06:21:42.873Z
7.5875,16.2162,0.8037,48,2016-10-08T06:21:13.211Z
7.7000,16.2162,0.8037,48,2016-10-08T06:20:43.996Z
7.8125,16.2162,0.8037,48,2016-10-08T06:20:12.970Z
7.9250,16.2162,0.8037,48,2016-10-08T06:19:42.964Z
7.9250,16.2162,0.8037,48,2016-10-08T06:19:12.960Z
8.0375,16.2162,0.8037,48,2016-10-08T06:18:42.950Z
8.1500,16.2162,0.8037,48,2016-10-08T06:18:12.946Z
8.1500,16.2162,0.8037,48,2016-10-08T06:17:44.170Z
8.1500,16.2162,0.8037,48,2016-10-08T06:17:13.107Z
8.2625,16.2162,0.8037,48,2016-10-08T06:16:42.950Z
8.3750,16.2162,0.8037,48,2016-10-08T06:16:12.924Z
8.4875,16.2162,0.8037,48,2016-10-08T06:15:42.903Z
8.4875,16.2162,0.8037,48,2016-10-08T06:15:13.173Z
8.6000,16.2162,0.8037,48,2016-10-08T06:14:42.888Z
8.7125,16.2162,0.8037,48,2016-10-08T06:14:13.002Z
8.7125,16.2162,0.8037,48,2016-10-08T06:13:43.378Z
8.8250,16.2162,0.8037,48,2016-10-08T06:13:15.206Z
8.9375,16.2162,0.8037,48,2016-10-08T06:12:42.857Z
8.9375,16.2162,0.8037,48,2016-10-08T06:12:12.980Z
9.0500,16.2162,0.8037,48,2016-10-08T06:11:42.975Z
9.0500,16.2162,0.8037,48,2016-10-08T06:11:13.020Z
9.1625,16.2162,0.8037,48,2016-10-08T06:10:42.827Z
9.1625,16.2162,0.8037,48,2016-10-08T06:10:12.822Z
9.2750,16.2162,0.8037,48,2016-10-08T06:09:42.937Z
9.2750,16.2162,0.8037,48,2016-10-08T06:09:13.069Z
9.3875,16.2162,0.8037,48,2016-10-08T06:08:42.923Z
9.5000,16.2162,0.8037,48,2016-10-08T06:08:13.517Z
9.5000,16.2162,0.8037,48,2016-10-08T06:07:13.801Z
9.5000,16.2162,0.8037,48,2016-10-08T06:06:43.601Z
9.5000,16.2162,0.8037,48,2016-10-08T06:06:13.267Z
9.6125,16.2162,0.8037,48,2016-10-08T06:05:45.941Z
9.6125,16.2162,0.8037,48,2016-10-08T06:05:13.402Z
9.6125,16.2162,0.8037,48,2016-10-08T06:04:44.221Z
9.6125,16.2162,0.8037,48,2016-10-08T06:04:15.297Z
9.6125,16.2162,0.8037,48,2016-10-08T06:03:43.208Z
9.6125,16.2162,0.8037,48,2016-10-08T06:03:14.743Z
9.6125,16.2162,0.8037,48,2016-10-08T06:02:46.814Z
9.6125,16.2162,0.8037,48,2016-10-08T06:02:13.077Z
9.6125,16.2162,0.8037,48,2016-10-08T06:01:42.821Z
9.5000,16.2162,0.8037,48,2016-10-08T06:00:43.494Z
9.3875,16.2162,0.8037,48,2016-10-08T06:00:12.791Z
9.3875,16.2162,0.8037,48,2016-10-08T05:59:43.156Z
9.2750,16.2162,0.8037,48,2016-10-08T05:59:13.108Z
9.2750,16.2162,0.8037,48,2016-10-08T05:58:42.894Z
9.1625,16.2162,0.8037,48,2016-10-08T05:58:12.997Z
9.1625,16.2162,0.8037,48,2016-10-08T05:57:44.087Z
9.0500,16.2162,0.8037,48,2016-10-08T05:57:12.873Z
8.9375,16.2162,0.8037,48,2016-10-08T05:56:43.517Z
8.9375,16.2162,0.8037,48,2016-10-08T05:56:12.995Z
8.9375,16.2162,0.8037,48,2016-10-08T05:55:42.878Z
8.8250,16.2162,0.8037,48,2016-10-08T05:55:15.936Z
8.7125,16.2162,0.8037,48,2016-10-08T05:54:42.958Z
8.7125,16.2162,0.8037,48,2016-10-08T05:54:13.040Z
8.6000,16.2162,0.8037,48,2016-10-08T05:53:42.817Z
8.6000,16.2162,0.8037,48,2016-10-08T05:53:12.810Z
8.4875,16.2162,0.8037,48,2016-10-08T05:52:44.225Z
8.3750,16.2162,0.8037,48,2016-10-08T05:52:13.064Z
8.3750,16.2162,0.8037,48,2016-10-08T05:51:42.913Z
8.3750,16.2162,0.8037,48,2016-10-08T05:51:15.982Z
8.2625,16.2162,0.8037,48,2016-10-08T05:50:42.900Z
8.1500,16.2162,0.8037,48,2016-10-08T05:50:13.127Z
8.0375,16.2162,0.8037,48,2016-10-08T05:49:42.882Z
8.0375,16.2162,0.8037,48,2016-10-08T05:49:12.875Z
8.1500,16.2162,0.8037,48,2016-10-08T05:48:42.866Z
8.0375,16.2162,0.8037,48,2016-10-08T05:48:12.859Z
